Montgomery, Alabama      	0	4589	2404	619	3240	1865	1593	1228	285	234	7079	2887	878	826	1214	1127	661	507	1953	1147	1734	1163	1518	369	873	2697	1318	3094	1765	1350	1847	1586	799	2192	894	1094	3446	1216	1682	520	1807	425	1113	2459	1779	987	3488	787	1221	1911
Juneau, Alaska           	4589	0	3226	4043	2384	2934	4582	4625	4872	4571	4522	2057	3757	3956	3383	3482	4163	4497	4552	4584	4641	3813	3148	4376	3715	1982	3277	2372	4534	4584	3266	4448	4727	2426	4124	3699	1676	4456	4651	4741	2783	4226	4175	2514	4394	4646	1469	4336	3506	2817
Phoenix, Arizona         	2404	3226	0	1820	1017	942	3558	3312	2636	2556	4674	1186	2114	2409	1856	1592	2499	1999	3808	3228	3695	2605	2067	2041	1872	1461	1588	935	3658	3379	611	3472	3056	1948	2677	1350	1584	3199	3662	2860	1579	2321	1396	812	3585	3148	1764	2782	2241	1069
Little Rock, Arkansas    	619	4043	1820	0	2622	1249	1880	1569	892	737	6489	2273	609	784	770	564	770	488	2199	1482	2025	1115	1137	333	426	2110	775	2476	2021	1662	1242	1829	1247	1712	1008	480	2834	1493	1981	1039	1270	526	710	1840	1991	1369	2884	1035	961	1303
Sacramento, California   	3240	2384	1017	2622	0	1425	4105	3935	3499	3348	3957	712	2731	3028	2382	2227	3169	2905	4285	3858	4228	3124	2444	2900	2534	1180	2129	163	4165	3971	1409	3997	3773	2006	3289	2145	720	3794	4206	3630	1869	3058	2354	854	4065	3817	950	3441	2729	1449
Denver, Colorado         	1865	2934	942	1249	1425	0	2714	2518	2141	1946	5372	1028	1309	1607	979	802	1744	1624	2929	2440	2844	1736	1134	1560	1109	951	714	1268	2793	2563	460	2615	2348	1062	1872	808	1587	2384	2817	2216	641	1641	1241	596	2706	2393	1653	2016	1350	157
Hartford, Connecticut    	1593	4582	3558	1880	4105	2714	0	376	1630	1358	8060	3525	1443	1154	1735	1966	1110	2073	369	448	145	982	1683	1871	1691	3149	2001	3943	186	244	2946	134	843	2317	890	2260	4020	389	104	1131	2254	1367	2578	3251	278	623	3962	851	1376	2662
Dover, Delaware          	1228	4625	3312	1569	3935	2518	376	0	1253	993	7890	3397	1213	913	1553	1736	817	1718	746	86	510	854	1582	1525	1442	3056	1806	3774	560	135	2703	415	466	2272	646	1983	3917	168	456	755	2128	1044	2251	3082	618	246	3881	537	1237	2486
Tallahassee, Florida     	285	4872	2636	892	3499	2141	1630	1253	0	368	7305	3165	1146	1052	1494	1412	862	658	1999	1183	1763	1365	1786	600	1157	2982	1603	3357	1811	1385	2098	1646	790	2471	1063	1356	3725	1280	1708	498	2091	676	1292	2731	1847	1007	3770	910	1474	2191
Atlanta, Georgia         	234	4571	2556	737	3348	1946	1358	993	368	0	7226	2950	817	688	1189	1168	495	733	1719	913	1499	997	1449	565	880	2726	1337	3198	1531	1116	1979	1353	570	2153	700	1217	3507	983	1447	310	1807	345	1317	2543	1548	753	3533	567	1122	1973
Honolulu, Hawaii         	7079	4522	4674	6489	3957	5372	8060	7890	7305	7226	0	4554	6681	6979	6339	6166	7110	6656	8222	7812	8180	7080	6387	6715	6470	4974	6083	4119	8113	7929	5249	7950	7700	5850	7243	6011	4118	7751	8160	7526	5811	6970	6029	4812	8007	7763	4241	7386	6684	5406
Boise, Idaho             	2887	2057	1186	2273	712	1028	3525	3397	3165	2950	4554	0	2238	2519	1858	1784	2687	2648	3669	3327	3638	2556	1842	2588	2083	468	1636	575	3565	3417	1244	3408	3302	1319	2766	1834	560	3246	3621	3204	1272	2629	2204	478	3455	3312	644	2940	2162	977
Springfield, Illinois    	878	3757	2114	609	2731	1309	1443	1213	1146	817	6681	2238	0	299	390	525	449	1045	1712	1132	1582	537	640	831	256	1957	606	2572	1551	1268	1503	1362	1064	1336	567	842	2781	1088	1547	999	1017	474	1288	1885	1492	1086	2780	709	366	1289
Indianapolis, Indiana    	826	3956	2409	784	3028	1607	1154	913	1052	688	6979	2519	299	0	660	823	209	1132	1440	833	1295	353	808	907	537	2218	899	2868	1272	970	1797	1081	796	1532	269	1110	3056	790	1258	787	1274	407	1493	2178	1224	794	3044	421	453	1582
Des Moines, Iowa         	1214	3383	1856	770	2382	979	1735	1553	1494	1189	6339	1858	390	660	0	333	836	1257	1957	1478	1865	758	375	1074	356	1567	269	2221	1815	1589	1256	1636	1449	978	911	759	2396	1412	1837	1388	627	844	1312	1529	1734	1454	2391	1082	385	933
Topeka, Kansas           	1127	3482	1592	564	2227	802	1966	1736	1412	1168	6166	1784	525	823	333	0	944	1040	2221	1654	2103	1021	691	896	307	1570	213	2070	2066	1793	981	1880	1546	1159	1092	427	2340	1613	2070	1422	706	846	993	1393	1998	1597	2367	1221	693	809
Frankfort, Kentucky      	661	4163	2499	770	3169	1744	1110	817	862	495	7110	2687	449	209	836	944	0	1035	1430	731	1255	505	1015	813	639	2402	1053	3011	1251	898	1892	1059	615	1737	253	1166	3230	725	1212	579	1460	282	1474	2327	1227	653	3227	282	662	1733
Baton Rouge, Louisiana   	507	4497	1999	488	2905	1624	2073	1718	658	733	6656	2648	1045	1132	1257	1040	1035	0	2424	1635	2217	1485	1620	225	907	2538	1254	2771	2238	1835	1495	2052	1304	2197	1288	816	3204	1688	2166	1028	1744	752	634	2189	2237	1484	3278	1235	1411	1707
Augusta, Maine           	1953	4552	3808	2199	4285	2929	369	746	1999	1719	8222	3669	1712	1440	1957	2221	1430	2424	0	816	253	1203	1840	2216	1967	3266	2227	4122	188	613	3200	373	1212	2405	1192	2549	4137	737	308	1500	2416	1700	2905	3436	223	992	4058	1191	1579	2861
Annapolis, Maryland      	1147	4584	3228	1482	3858	2440	448	86	1183	913	7812	3327	1132	833	1478	1654	731	1635	816	0	587	794	1520	1440	1359	2992	1729	3697	628	204	2619	469	402	2217	568	1897	3850	147	534	685	2060	957	2164	3006	672	179	3818	450	1171	2409
